,Tmax,Tmin,Tavg,DewPoint,WetBulb,Heat,Cool,Sunrise,Sunset,PrecipTotal,StnPressure,SeaLevel,ResultSpeed,ResultDir,AvgSpeed,RA_yes,BR_yes,TS_yes,HZ_yes,DZ_yes
0,83,50,67,51,56,0, 2,0448,1849,0.00,29.10,29.82,1.7,27,9.2,0,0,0,0,0
1,59,42,51,42,47,14, 0,0447,1850,0.00,29.38,30.09,13.0,4,13.4,0,1,0,0,0
2,66,46,56,40,48,9, 0,0446,1851,0.00,29.39,30.12,11.7,7,11.9,0,0,0,0,0
3,66,49,58,41,50,7, 0,0444,1852,0.005,29.31,30.05,10.4,8,10.8,1,0,0,0,0
4,66,53,60,38,49,5, 0,0443,1853,0.005,29.40,30.10,11.7,7,12.0,0,0,0,0,0
5,68,49,59,30,46,6, 0,0442,1855,0.00,29.57,30.29,14.4,11,15.0,0,0,0,0,0
6,83,47,65,41,54,0, 0,0441,1856,0.005,29.38,30.12,8.6,18,10.5,1,0,0,0,0
7,82,54,68,58,62,0, 3,0439,1857,0.00,29.29,30.03,2.7,11,5.8,0,1,0,0,0
8,77,61,69,59,63,0, 4,0438,1858,0.13,29.21,29.94,3.9,9,6.2,0,1,0,1,0
9,84,56,70,52,60,0, 5,0437,1859,0.00,29.20,29.92,0.7,17,4.1,0,1,0,0,0
10,70,51,61,42,51,4, 0,0436,1860,0.00,29.33,30.04,11.3,3,12.9,0,0,0,0,0
11,64,46,55,36,46,10, 0,0435,1901,0.00,29.49,30.20,12.4,3,12.9,0,0,0,0,0
12,69,43,56,33,46,9, 0,0434,1902,0.00,29.49,30.24,6.6,14,8.1,0,0,0,0,0
13,90,56,73,47,59,0, 8,0433,1903,0.00,29.23,29.97,16.9,21,17.3,0,0,0,0,0
14,80,57,69,56,61,0, 4,0432,1904,0.38,29.13,29.84,8.1,27,12.3,1,1,0,0,0
15,66,44,55,43,48,10, 0,0431,1905,0.14,29.33,30.03,7.8,36,12.2,1,1,0,0,0
16,62,43,53,32,43,12, 0,0430,1906,0.00,29.55,30.27,10.5,3,11.3,0,0,0,0,0
17,71,42,57,30,46,8, 0,0429,1907,0.00,29.53,30.25,5.4,25,7.5,0,0,0,0,0
18,80,56,68,39,53,0, 3,0428,1908,0.00,29.34,30.08,11.1,24,11.4,0,0,0,0,0
19,69,43,56,40,44,9, 0,0427,1909,0.07,29.38,30.11,10.4,4,10.7,1,0,1,0,0
20,80,44,62,50,56,3, 0,0426,1910,0.00,29.33,30.06,6.3,11,8.2,0,0,0,0,0
21,87,55,71,46,58,0, 6,0425,1911,0.00,29.34,30.06,10.0,18,10.2,0,0,0,0,0
22,89,60,75,49,61,0,10,0425,1912,0.00,29.39,30.10,11.4,19,11.8,0,0,0,0,0
23,88,63,76,54,63,0,11,0424,1913,0.02,29.41,30.11,14.9,21,17.3,1,0,0,1,0
24,70,56,63,44,53,2, 0,0423,1914,0.005,29.51,30.24,4.9,5,8.8,0,0,0,0,0
25,65,49,57,55,56,8, 0,0422,1915,1.01,29.36,30.11,2.8,17,7.2,1,1,1,1,0
26,75,57,66,47,56,0, 1,0422,1916,0.04,29.34,30.06,8.9,26,9.5,1,1,0,0,0
27,79,50,65,47,56,0, 0,0421,1916,0.005,29.43,30.15,4.8,10,5.3,1,0,0,0,0
28,88,60,74,58,65,0, 9,0421,1917,0.00,29.39,30.11,5.8,18,6.5,0,1,0,1,0
29,87,66,77,58,65,0,12,0420,1918,0.00,29.31,30.04,10.3,19,10.6,0,0,0,1,0
30,78,65,72,61,65,0, 7,0420,1919,0.01,29.28,30.00,9.3,19,9.9,1,0,0,1,0
31,85,62,74,63,66,0, 9,0419,1920,0.19,29.19,29.91,4.2,17,6.4,1,1,1,1,0
32,81,65,73,63,67,0, 8,0419,1920,0.04,29.03,29.77,6.5,22,7.4,1,1,0,0,0
33,78,62,70,60,63,0, 5,0418,1921,0.01,28.82,29.56,5.2,25,6.7,1,1,1,1,0
34,71,58,65,58,60,0, 0,0418,1922,0.39,28.82,29.52,7.8,31,9.7,1,1,1,0,0
35,64,47,56,48,51,9, 0,0417,1923,0.42,29.10,29.79,5.2,5,7.6,1,1,0,0,0
36,71,44,58,48,55,7, 0,0417,1923,0.01,29.07,29.81,10.8,17,11.4,1,0,0,0,0
37,91,71,81,62,69,0,16,0417,1924,0.00,28.84,29.55,22.7,20,23.1,0,0,0,0,0
38,81,57,69,53,61,0, 4,0417,1925,0.00,29.18,29.85,10.9,28,13.8,0,0,0,0,0
39,79,52,66,47,57,0, 1,0416,1925,0.00,29.36,30.07,0.3,33,5.0,0,0,0,0,0
40,81,55,68,51,59,0, 3,0416,1926,0.00,29.34,30.05,4.8,17,5.6,0,0,0,0,0
41,86,58,72,52,61,0, 7,0416,1926,0.00,29.41,30.11,4.9,11,6.9,0,0,0,0,0
42,83,62,73,50,60,0, 8,0416,1927,0.00,29.44,30.16,8.3,5,8.8,0,0,0,0,0
43,87,60,74,53,62,0, 9,0416,1927,0.00,29.36,30.09,7.2,5,8.6,0,0,0,0,0
44,89,64,77,55,64,0,12,0416,1928,0.00,29.30,30.02,5.6,5,6.8,0,0,0,0,0
45,91,63,77,56,64,0,12,0416,1928,0.00,29.28,29.99,4.1,6,4.9,0,0,0,0,0
46,93,66,80,60,67,0,15,0416,1929,0.005,29.26,29.97,4.8,28,5.8,1,0,0,1,0
47,91,70,81,64,70,0,16,0416,1929,0.00,29.23,29.95,2.8,11,6.3,0,0,0,1,0
48,89,69,79,65,70,0,14,0416,1929,0.28,29.12,29.84,14.0,20,15.1,1,0,1,1,0
49,80,65,73,55,63,0, 8,0416,1930,0.58,29.26,29.95,10.7,28,11.4,1,0,0,0,0
50,84,61,73,52,61,0, 8,0416,1930,0.00,29.39,30.10,7.8,27,8.8,0,0,0,0,0
51,77,61,69,51,60,0, 4,0416,1930,0.01,29.36,30.08,3.5,3,10.7,1,0,0,0,0
52,76,61,69,50,58,0, 4,0417,1931,0.005,29.33,30.06,7.8,6,8.7,1,0,0,0,0
53,67,62,65,58,61,0, 0,0417,1931,0.05,29.23,29.96,7.6,12,9.0,1,1,0,0,0
54,77,63,70,62,65,0, 5,0417,1931,0.00,29.26,29.97,7.0,9,8.0,0,1,0,1,0
55,89,65,77,66,70,0,12,0417,1931,0.00,29.38,30.07,3.9,14,6.8,0,1,0,1,0
56,92,70,81,69,72,0,16,0418,1931,0.16,29.39,30.11,6.1,22,7.1,1,1,1,1,0
57,91,71,81,70,72,0,16,0418,1931,0.15,29.29,30.02,7.5,24,8.8,1,0,1,0,0
58,74,58,66,55,60,0, 1,0419,1931,0.00,29.41,30.09,11.9,3,12.5,0,0,0,0,0
59,70,56,63,55,59,2, 0,0419,1931,0.00,29.41,30.13,7.6,2,8.3,0,0,0,0,0
60,79,54,67,46,56,0, 2,0419,1931,0.00,29.41,30.13,4.9,3,5.8,0,0,0,0,0
61,75,54,65,52,58,0, 0,0420,1931,0.00,29.51,30.23,8.6,4,8.6,0,0,0,0,0
62,79,53,66,50,58,0, 1,0420,1931,0.00,29.49,30.22,5.9,14,8.1,0,0,0,0,0
63,83,60,72,57,63,0, 7,0421,1931,0.40,29.31,30.06,6.7,21,7.3,1,1,1,0,0
64,86,67,77,65,69,0,12,0422,1930,0.16,29.18,29.90,4.6,27,8.2,1,1,1,1,0
65,89,71,80,60,67,0,15,0422,1930,0.00,29.24,29.94,6.4,31,8.1,0,1,0,1,0
66,86,66,76,57,64,0,11,0423,1930,0.00,29.32,30.03,3.2,5,5.5,0,0,0,0,0
67,90,64,77,63,69,0,12,0423,1930,0.00,29.18,29.91,8.4,22,8.6,0,0,0,0,0
68,94,75,85,67,72,0,20,0424,1929,0.00,29.05,29.77,12.9,24,13.1,0,0,0,0,0
69,94,70,82,66,70,0,17,0425,1929,0.30,29.11,29.80,4.9,24,8.8,1,0,1,0,0
70,89,69,79,67,70,0,14,0425,1929,0.43,29.06,29.77,8.6,23,10.5,0,0,1,1,0
71,77,62,70,51,59,0, 5,0426,1928,0.00,29.23,29.93,8.8,30,10.9,0,0,0,0,0
72,80,61,71,51,59,0, 6,0427,1928,0.00,29.22,29.93,9.4,29,11.1,0,0,0,0,0
73,78,58,68,52,58,0, 3,0428,1927,0.00,29.26,29.98,1.4,1,5.3,0,0,0,0,0
74,84,61,73,55,62,0, 8,0428,1927,0.00,29.08,29.79,8.3,26,13.2,0,0,0,0,0
