,Tmax,Tmin,Tavg,DewPoint,WetBulb,Heat,Cool,PrecipTotal,StnPressure,SeaLevel,ResultSpeed,ResultDir,AvgSpeed,RA_yes,BR_yes,TS_yes,HZ_yes,DZ_yes,Date,Sunset,Sunrise
0,83.5,51.0,67.5,51.0,56.5,0.0,2.5,0.0,29.139999389648438,29.81999969482422,2.200000047683716,26.0,9.399999618530273,0.0,0.0,0.0,0.0,0.0,2007-05-01,1849.0,448.0
1,59.5,42.5,51.25,42.0,47.0,13.5,0.0,0.0,29.40999984741211,30.084999084472656,13.149999618530273,3.0,13.399999618530273,0.0,1.0,0.0,0.5,0.0,2007-05-02,1850.0,447.0
2,66.5,47.0,56.75,40.0,49.0,8.0,0.0,0.0,29.424999237060547,30.1200008392334,12.299999237060547,6.5,12.549999237060547,0.0,0.0,0.0,0.5,0.0,2007-05-03,1851.0,446.0
3,72.0,50.0,61.25,41.5,50.0,3.5,3.0297741889953613,0.0024999999441206455,29.334999084472656,30.045000076293945,10.25,7.5,10.600000381469727,0.5,0.0,0.0,0.0,0.0,2007-05-04,1852.0,444.0
4,66.0,53.5,60.0,38.5,49.5,5.0,0.0,0.004999999888241291,29.43000030517578,30.095001220703125,11.449999809265137,7.0,11.75,0.0,0.0,0.0,0.0,0.0,2007-05-05,1853.0,443.0
5,68.0,50.5,59.5,30.0,46.0,5.5,0.0,0.0,29.595001220703125,30.28499984741211,14.100000381469727,10.5,14.75,0.0,0.0,0.0,0.0,0.0,2007-05-06,1855.0,442.0
6,83.5,48.5,66.0,40.0,53.5,0.0,1.0,0.0024999999441206455,29.40999984741211,30.1200008392334,8.550000190734863,17.5,10.199999809265137,0.5,0.0,0.0,0.0,0.0,2007-05-07,1856.0,441.0
7,81.0,57.0,69.0,57.5,62.5,0.0,4.0,0.0024999999441206455,29.325000762939453,30.025001525878906,2.5999999046325684,9.5,5.600000381469727,0.0,0.5,0.0,0.5,0.0,2007-05-08,1857.0,439.0
8,76.5,62.0,69.25,59.5,63.0,0.0,4.5,0.07499999552965164,29.244998931884766,29.935001373291016,3.9000000953674316,8.0,6.050000190734863,0.0,1.0,0.0,1.0,0.0,2007-05-09,1858.0,438.0
9,83.5,57.5,70.5,52.0,60.5,0.0,5.5,0.0,29.229999542236328,29.915000915527344,1.350000023841858,13.0,4.0,0.0,1.0,0.0,0.5,0.0,2007-05-10,1859.0,437.0
10,71.5,50.0,61.0,43.0,51.0,4.0,0.0,0.0,29.360000610351562,30.03499984741211,11.5,19.5,12.850000381469727,0.0,0.0,0.0,0.0,0.0,2007-05-11,1860.0,436.0
11,64.5,46.5,55.5,36.5,46.0,9.5,0.0,0.0,29.514999389648438,30.19499969482422,12.549999237060547,2.0,12.949999809265137,0.0,0.0,0.0,0.0,0.0,2007-05-12,1901.0,435.0
12,69.0,43.5,56.25,32.5,46.0,8.5,0.0,0.0,29.520000457763672,30.239999771118164,6.5,12.5,7.850000381469727,0.0,0.0,0.0,0.0,0.0,2007-05-13,1902.0,434.0
13,90.0,55.0,72.5,46.0,58.5,0.0,7.5,0.0,29.270000457763672,29.974998474121094,15.5,21.0,15.949999809265137,0.0,0.0,0.0,0.0,0.0,2007-05-14,1903.0,433.0
14,81.0,56.5,69.0,56.0,61.0,0.0,4.0,0.49000000953674316,29.15999984741211,29.834999084472656,8.100000381469727,26.0,11.550000190734863,1.0,1.0,0.5,0.0,0.0,2007-05-15,1904.0,432.0
15,65.0,44.5,54.75,42.5,47.5,10.0,0.0,0.10500000417232513,29.360000610351562,30.030000686645508,7.900000095367432,36.0,12.0,1.0,1.0,0.0,0.0,0.0,2007-05-16,1905.0,431.0
16,61.5,43.5,52.75,32.0,43.0,12.0,0.0,0.0,29.584999084472656,30.270000457763672,11.100000381469727,2.0,11.75,0.0,0.0,0.0,0.0,0.0,2007-05-17,1906.0,430.0
17,70.5,42.5,56.75,30.5,46.5,8.0,0.0,0.0,29.565000534057617,30.255001068115234,4.400000095367432,23.5,6.5,0.0,0.0,0.0,0.0,0.0,2007-05-18,1907.0,429.0
